generated_utc,git_commit,pytest_label,nodeid,test_file,test_class,test_name,outcome,duration_ms,exception_type,exception_message,first_project_frame,markers
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__post_verify_finds_match_beyond_first_20_records,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__post_verify_finds_match_beyond_first_20_records,pass,1398,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__post_verify_input_normalization,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__post_verify_input_normalization,pass,51,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__post_verify_malformed_last_name,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__post_verify_malformed_last_name,pass,8,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__rotate_token_requires_auth,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__rotate_token_requires_auth,pass,2,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__rotate_token_invalidates_old_token,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__rotate_token_invalidates_old_token,pass,570,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_DOM_PROD_002__token_not_derived_from_teacher_id,tests/dom/attendance/test_hall_pass_verify.py,,test_DOM_PROD_002__token_not_derived_from_teacher_id,pass,0,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_profile_edit_changes_verification_without_claim_material,tests/dom/attendance/test_hall_pass_verify.py,,test_profile_edit_changes_verification_without_claim_material,pass,107,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_duplicate_profiles_are_ambiguous_even_with_one_pass,tests/dom/attendance/test_hall_pass_verify.py,,test_duplicate_profiles_are_ambiguous_even_with_one_pass,pass,790,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_foreign_capability_rejected_before_profile_read,tests/dom/attendance/test_hall_pass_verify.py,,test_foreign_capability_rejected_before_profile_read,pass,599,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_hall_pass_verify.py::test_verification_form_accessibility,tests/dom/attendance/test_hall_pass_verify.py,,test_verification_form_accessibility,pass,6,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/attendance/test_time_today_day_bounded.py::test_time_today_excludes_time_before_today,tests/dom/attendance/test_time_today_day_bounded.py,,test_time_today_excludes_time_before_today,pass,694,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_admin_auth.py::test_DOM_CLASS_001__admin_required_blocks_missing_identity,tests/dom/class/test_admin_auth.py,,test_DOM_CLASS_001__admin_required_blocks_missing_identity,pass,5,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_admin_export_students_scoping.py::test_DOM_CLASS_001__roster_text_sanitizer_strips_markup,tests/dom/class/test_admin_export_students_scoping.py,,test_DOM_CLASS_001__roster_text_sanitizer_strips_markup,pass,26,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_admin_export_students_scoping.py::test_DOM_CLASS_001__roster_text_sanitizer_preserves_special_name_characters,tests/dom/class/test_admin_export_students_scoping.py,,test_DOM_CLASS_001__roster_text_sanitizer_preserves_special_name_characters,pass,1,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_analytics_scope_single_active_class.py::test_DOM_CLASS_001__analytics_available_classes_bind_to_active_only,tests/dom/class/test_analytics_scope_single_active_class.py,,test_DOM_CLASS_001__analytics_available_classes_bind_to_active_only,pass,1221,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_analytics_scope_single_active_class.py::test_DOM_CLASS_001__analytics_rejects_class_not_owned,tests/dom/class/test_analytics_scope_single_active_class.py,,test_DOM_CLASS_001__analytics_rejects_class_not_owned,pass,1094,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_CLASS_001__ledger_flow_posts_pending_transaction,tests/dom/class/test_banking_core.py,,test_DOM_CLASS_001__ledger_flow_posts_pending_transaction,pass,683,,,,
2026-09-21T22:01:14.198088+00:00,b4a639311,full,tests/dom/class/test_banking_core.py::test_DOM_LED_001__posting_sequence_is_class_scoped_across_seats,tests/dom/class/test_banking_core.py,,test_DOM_LED_001__posting_sequence_is_class_scoped_across_seats,pass,670,,,,
